 , ,825;
 ,!,5;
 ,",765;
 ,#,64;
 ,$,34;
 ,%,931;
 ,&,1065;
 ,',98;
 ,(,29278;
 ,),30;
 ,*,68;
 ,+,54;
 ,,,36;
 ,-,1919;
 ,.,159;
 ,/,572;
 ,0,806;
 ,1,50212;
 ,2,21947;
 ,3,6071;
 ,4,3106;
 ,5,2647;
 ,6,2120;
 ,7,1694;
 ,8,1632;
 ,9,2504;
 ,:,184;
 ,;,18;
 ,<,9;
 ,=,22384;
 ,>,14;
 ,?,35;
 ,@,5;
 ,[,358;
 ,_,2;
 ,a,129245;
 ,b,91966;
 ,c,20536;
 ,d,237990;
 ,e,118020;
 ,f,58199;
 ,g,65992;
 ,h,46284;
 ,i,99623;
 ,j,26213;
 ,k,50576;
 ,l,39352;
 ,m,71212;
 ,n,45272;
 ,o,24186;
 ,p,37150;
 ,q,2044;
 ,r,34111;
 ,s,133897;
 ,t,33543;
 ,u,76279;
 ,v,70832;
 ,w,84133;
 ,x,600;
 ,y,1460;
 ,z,47502;
 ,{,10;
 ,|,61;
 ,~,1;
 ,€,55;
 ,‚,120;
 ,„,5728;
 ,…,75;
 ,†,1030;
 ,‰,5;
 ,Š,17;
 ,‹,5;
 ,Œ,1;
 ,Ž,6;
 ,‘,11;
 ,’,26;
 ,“,43;
 ,”,8;
 ,•,2;
 ,–,3779;
 ,—,22;
 ,›,7;
 ,ž,1;
 ,£,6;
 ,§,183;
 ,«,70;
 ,°,54;
 ,±,7;
 ,²,2;
 ,³,1;
 ,´,2;
 ,µ,14;
 ,·,6;
 ,»,33;
 ,¼,1;
 ,½,9;
 ,¾,1;
 ,¿,1;
 ,À,1;
 ,Á,44;
 ,Ä,687;
 ,Å,40;
 ,Æ,7;
 ,Ç,1;
 ,È,1;
 ,É,200;
 ,Í,8;
 ,Î,15;
 ,Ð,1;
 ,Ñ,1;
 ,Ó,12;
 ,Ö,1269;
 ,×,227;
 ,Ø,2;
 ,Ú,1;
 ,Ü,1394;
 ,Þ,1;
 ,à,52;
 ,á,2;
 ,â,1;
 ,ä,1069;
 ,å,2;
 ,æ,1;
 ,ç,2;
 ,è,5;
